"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"TX","Texas","53-5021","Captains, mates, and pilots of water vessels",NA,"2510","31.96","66480"
"GA","Georgia","29-1062","Family and general practitioners",NA,"2510","83.25","173160"
"TX","Texas","15-1071","Network and computer systems administrators",NA,"25130","30.79","64040"
"OH","Ohio","43-3071","Tellers",NA,"25190","10.83","22520"
"GA","Georgia","13-1111","Management analysts",NA,"25190","41.54","86400"
"TN","Tennessee","51-7042","Woodworking machine setters, operators, and tenders, except sawing",NA,"2520","10.96","22800"
"VT","Vermont","43-4171","Receptionists and information clerks",NA,"2520","12.23","25430"
"OR","Oregon","43-9021","Data entry keyers",NA,"2520","12.98","27000"
"IN","Indiana","51-4122","Welding, soldering, and brazing machine setters, operators, and tenders",NA,"2520","14.44","30030"
"OR","Oregon","41-9099","Sales and related workers, all other",NA,"2520","17.81","37040"
"OR","Oregon","51-4011","Computer-controlled machine tool operators, metal and plastic",NA,"2520","17.96","37360"
"AR","Arkansas","53-1031","First-line supervisors/managers of transportation and material-moving machine and vehicle operators",NA,"2520","21.85","45440"
"NY","New York","49-9012","Control and valve installers and repairers, except mechanical door",NA,"2520","29.90","62180"
"IA","Iowa","41-1012","First-line supervisors/managers of non-retail sales workers",NA,"2520","34.05","70810"
"UT","Utah","11-9021","Construction managers",NA,"2520","34.86","72510"
"MA","Massachusetts","27-3042","Technical writers",NA,"2520","35.01","72820"
"AL","Alabama","51-6011","Laundry and dry-cleaning workers",NA,"2520","8.40","17470"
"GA","Georgia","53-6031","Service station attendants",NA,"2520","9.26","19270"
"IL","Illinois","39-6032","Transportation attendants, except flight attendants and baggage porters",NA,"2520","9.45","19660"
"MI","Michigan","39-3011","Gaming dealers",NA,"2520","9.75","20280"
"MI","Michigan","51-9061","Inspectors, testers, sorters, samplers, and weighers",NA,"25200","17.81","37050"
"MO","Missouri","47-2031","Carpenters",NA,"25200","21.40","44520"
"MO","Missouri","13-2011","Accountants and auditors",NA,"25210","27.29","56760"
"OH","Ohio","49-3023","Automotive service technicians and mechanics",NA,"25220","17.03","35420"
"MA","Massachusetts","23-0000","Legal occupations","major","25240","46.80","97340"
"TX","Texas","35-2011","Cooks, fast food",NA,"25250","7.44","15470"
"CA","California","49-3031","Bus and truck mechanics and diesel engine specialists",NA,"25270","21.41","44530"
"IN","Indiana","51-1011","First-line supervisors/managers of production and operating workers",NA,"25270","24.65","51270"
"IN","Indiana","41-1011","First-line supervisors/managers of retail sales workers",NA,"25280","18.39","38240"
"KS","Kansas","29-2052","Pharmacy technicians",NA,"2530","12.40","25790"
"MO","Missouri","21-1093","Social and human service assistants",NA,"2530","12.43","25850"
"MA","Massachusetts","49-9098","Helpers--installation, maintenance, and repair workers",NA,"2530","13.25","27570"
"NE","Nebraska","53-7051","Industrial truck and tractor operators",NA,"2530","14.12","29380"
"GA","Georgia","47-2181","Roofers",NA,"2530","14.36","29870"
"WI","Wisconsin","51-4122","Welding, soldering, and brazing machine setters, operators, and tenders",NA,"2530","16.31","33930"
"MO","Missouri","37-1011","First-line supervisors/managers of housekeeping and janitorial workers",NA,"2530","16.35","34010"
"OR","Oregon","43-5032","Dispatchers, except police, fire, and ambulance",NA,"2530","17.20","35790"
"WI","Wisconsin","25-3021","Self-enrichment education teachers",NA,"2530","17.63","36680"
"IL","Illinois","43-4041","Credit authorizers, checkers, and clerks",NA,"2530","18.22","37890"
"LA","Louisiana","21-1021","Child, family, and school social workers",NA,"2530","19.67","40910"
"UT","Utah","13-2081","Tax examiners, collectors, and revenue agents",NA,"2530","19.90","41380"
"CT","Connecticut","43-5053","Postal service mail sorters, processors, and processing machine operators",NA,"2530","20.05","41700"
"NJ","New Jersey","51-9011","Chemical equipment operators and tenders",NA,"2530","20.63","42900"
"OH","Ohio","17-3011","Architectural and civil drafters",NA,"2530","20.82","43300"
"NV","Nevada","13-1041","Compliance officers, except agriculture, construction, health and safety, and transportation",NA,"2530","21.40","44500"
"IL","Illinois","31-2021","Physical therapist assistants",NA,"2530","21.95","45660"
"WA","Washington","13-1022","Wholesale and retail buyers, except farm products",NA,"2530","23.13","48110"
"OH","Ohio","19-2041","Environmental scientists and specialists, including health",NA,"2530","28.93","60170"
"IA","Iowa","39-3091","Amusement and recreation attendants",NA,"2530","8.01","16650"
"ID","Idaho","53-7064","Packers and packagers, hand",NA,"2530","8.54","17770"
"LA","Louisiana","21-0000","Community and social services occupations","major","25310","17.98","37400"
"TX","Texas","15-0000","Computer and mathematical occupations","major","253170","34.06","70840"
"NJ","New Jersey","43-6011","Executive secretaries and administrative assistants",NA,"25330","24.57","51100"
"OK","Oklahoma","43-3031","Bookkeeping, accounting, and auditing clerks",NA,"25340","13.45","27980"
"MS","Mississippi","29-1111","Registered nurses",NA,"25350","25.67","53400"
"HI","Hawaii","29-0000","Healthcare practitioners and technical occupations","major","25360","35.43","73690"
"NC","North Carolina","25-0000","Education, training, and library occupations","major","253850","18.45","38370"
"DC","District of Columbia","35-9011","Dining room and cafeteria attendants and bartender helpers",NA,"2540","10.00","20810"
"WY","Wyoming","43-9061","Office clerks, general",NA,"2540","11.50","23920"
"OH","Ohio","43-5021","Couriers and messengers",NA,"2540","11.55","24030"
"CO","Colorado","39-2021","Nonfarm animal caretakers",NA,"2540","12.12","25210"
"GA","Georgia","51-2022","Electrical and electronic equipment assemblers",NA,"2540","12.74","26490"
"OH","Ohio","29-2056","Veterinary technologists and technicians",NA,"2540","13.87","28850"
"IA","Iowa","21-1015","Rehabilitation counselors",NA,"2540","13.89","28900"
"SC","South Carolina","47-2051","Cement masons and concrete finishers",NA,"2540","14.03","29170"
"SC","South Carolina","51-9041","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",NA,"2540","15.20","31620"
"SC","South Carolina","47-2211","Sheet metal workers",NA,"2540","15.26","31740"
"NV","Nevada","31-9091","Dental assistants",NA,"2540","16.97","35290"
"MI","Michigan","19-4099","Life, physical, and social science technicians, all other",NA,"2540","18.20","37860"
"WI","Wisconsin","47-2181","Roofers",NA,"2540","18.75","38990"
"CT","Connecticut","51-4011","Computer-controlled machine tool operators, metal and plastic",NA,"2540","19.17","39870"
"MA","Massachusetts","43-5051","Postal service clerks",NA,"2540","21.42","44560"
"TX","Texas","33-1099","First-line supervisors/managers, protective service workers, all other",NA,"2540","22.61","47020"
"SC","South Carolina","13-1051","Cost estimators",NA,"2540","23.81","49530"
"SC","South Carolina","11-3051","Industrial production managers",NA,"2540","41.53","86370"
"CO","Colorado","17-2199","Engineers, all other",NA,"2540","42.52","88440"
"NY","New York","29-1131","Veterinarians",NA,"2540","50.40","104830"
"NJ","New Jersey","11-3061","Purchasing managers",NA,"2540","55.03","114470"
"PR","Puerto Rico","43-4131","Loan interviewers and clerks",NA,"2540","8.62","17930"
"IN","Indiana","39-2021","Nonfarm animal caretakers",NA,"2540","9.52","19810"
"AL","Alabama","51-3023","Slaughterers and meat packers",NA,"2540","9.79","20360"
"MO","Missouri","43-6011","Executive secretaries and administrative assistants",NA,"25400","19.43","40410"
"IL","Illinois","41-3099","Sales representatives, services, all other",NA,"25420","29.76","61900"
"TX","Texas","29-2052","Pharmacy technicians",NA,"25430","13.34","27750"
"MI","Michigan","51-4041","Machinists",NA,"25430","18.77","39050"
"CA","California","51-2022","Electrical and electronic equipment assemblers",NA,"25440","14.12","29370"
"AK","Alaska","41-0000","Sales and related occupations","major","25460","14.83","30840"
"KS","Kansas","43-4051","Customer service representatives",NA,"25470","13.32","27700"
"PA","Pennsylvania","33-3051","Police and sheriff's patrol officers",NA,"25480","25.45","52940"
"PA","Pennsylvania","27-1023","Floral designers",NA,"2550","11.13","23160"
"AL","Alabama","45-4022","Logging equipment operators",NA,"2550","13.72","28530"
"OH","Ohio","41-3041","Travel agents",NA,"2550","13.74","28590"
"MO","Missouri","51-9041","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",NA,"2550","14.11","29360"
"UT","Utah","41-2022","Parts salespersons",NA,"2550","14.29","29730"
"WA","Washington","51-3021","Butchers and meat cutters",NA,"2550","17.61","36640"
"IN","Indiana","49-2011","Computer, automated teller, and office machine repairers",NA,"2550","18.27","38000"
"MD","Maryland","47-2081","Drywall and ceiling tile installers",NA,"2550","19.87","41330"
"MN","Minnesota","51-8031","Water and liquid waste treatment plant and system operators",NA,"2550","20.81","43290"
"MO","Missouri","29-1126","Respiratory therapists",NA,"2550","21.73","45200"
"ND","North Dakota","13-2011","Accountants and auditors",NA,"2550","22.08","45930"
"OK","Oklahoma","41-9022","Real estate sales agents",NA,"2550","22.44","46680"
"OR","Oregon","11-9051","Food service managers",NA,"2550","22.90","47630"
"WA","Washington","49-2094","Electrical and electronics repairers, commercial and industrial equipment",NA,"2550","26.86","55880"
"TX","Texas","17-2111","Health and safety engineers, except mining safety engineers and inspectors",NA,"2550","35.88","74640"
"MD","Maryland","11-9141","Property, real estate, and community association managers",NA,"2550","36.09","75070"
"KS","Kansas","11-9199","Managers, all other",NA,"2550","37.36","77710"
"NC","North Carolina","17-2072","Electronics engineers, except computer",NA,"2550","38.93","80970"
"MN","Minnesota","11-3049","Human resources managers, all other",NA,"2550","50.36","104750"
"WA","Washington","11-9111","Medical and health services managers",NA,"2550","53.71","111720"
"NM","New Mexico","43-4081","Hotel, motel, and resort desk clerks",NA,"2550","8.61","17920"
"NC","North Carolina","11-1011","Chief executives",NA,"2550","83.36","173400"
"TX","Texas","39-4021","Funeral attendants",NA,"2550","9.72","20210"
"FL","Florida","43-6013","Medical secretaries",NA,"25500","13.08","27200"
"KS","Kansas","17-0000","Architecture and engineering occupations","major","25500","30.86","64190"
"OH","Ohio","35-3011","Bartenders",NA,"25500","8.08","16800"
"TX","Texas","35-3011","Bartenders",NA,"25500","8.49","17650"
"MD","Maryland","00-0000","All Occupations",NA,"2551910","22.01","45780"
"CT","Connecticut","43-3031","Bookkeeping, accounting, and auditing clerks",NA,"25540","18.80","39100"
"WA","Washington","15-1031","Computer software engineers, applications",NA,"25550","41.74","86830"
"OH","Ohio","47-2111","Electricians",NA,"25560","22.81","47440"
"WY","Wyoming","53-0000","Transportation and material moving occupations","major","25570","16.61","34540"
"DC","District of Columbia","29-0000","Healthcare practitioners and technical occupations","major","25570","32.60","67810"
"OH","Ohio","43-3021","Billing and posting clerks and machine operators",NA,"25580","14.17","29480"
"TX","Texas","49-9091","Coin, vending, and amusement machine servicers and repairers",NA,"2560","12.88","26800"
"TN","Tennessee","51-4021","Extruding and drawing machine setters, operators, and tenders, metal and plastic",NA,"2560","14.26","29660"
"MA","Massachusetts","53-3021","Bus drivers, transit and intercity",NA,"2560","15.39","32020"
"LA","Louisiana","49-9099","Installation, maintenance, and repair workers, all other",NA,"2560","15.88","33030"
"CO","Colorado","47-4051","Highway maintenance workers",NA,"2560","18.00","37430"
"AZ","Arizona","49-2011","Computer, automated teller, and office machine repairers",NA,"2560","18.03","37490"
"VA","Virginia","27-3042","Technical writers",NA,"2560","31.36","65230"
"TN","Tennessee","17-2051","Civil engineers",NA,"2560","34.92","72640"
"KS","Kansas","17-2011","Aerospace engineers",NA,"2560","37.13","77220"
"SC","South Carolina","11-9041","Engineering managers",NA,"2560","47.98","99800"
"KY","Kentucky","39-9041","Residential advisors",NA,"2560","9.26","19270"
"VA","Virginia","53-6021","Parking lot attendants",NA,"2560","9.35","19450"
"PR","Puerto Rico","53-7051","Industrial truck and tractor operators",NA,"2560","9.55","19850"
"DE","Delaware","53-0000","Transportation and material moving occupations","major","25600","14.53","30230"
"MS","Mississippi","39-0000","Personal care and service occupations","major","25600","9.43","19620"
"FL","Florida","43-3021","Billing and posting clerks and machine operators",NA,"25640","14.04","29200"
"NC","North Carolina","47-2031","Carpenters",NA,"25660","15.06","31330"
"SC","South Carolina","43-6014","Secretaries, except legal, medical, and executive",NA,"25670","13.22","27490"
"UT","Utah","43-4111","Interviewers, except eligibility and loan",NA,"2570","10.66","22170"
"CA","California","41-2012","Gaming change persons and booth cashiers",NA,"2570","10.69","22240"
"LA","Louisiana","47-3013","Helpers--electricians",NA,"2570","11.59","24100"
"NJ","New Jersey","43-4121","Library assistants, clerical",NA,"2570","11.85","24640"
"MS","Mississippi","43-3011","Bill and account collectors",NA,"2570","11.90","24740"
"NV","Nevada","43-4151","Order clerks",NA,"2570","12.52","26050"
"IL","Illinois","27-1026","Merchandise displayers and window trimmers",NA,"2570","12.82","26670"
"CA","California","39-6021","Tour guides and escorts",NA,"2570","12.98","27000"
"MA","Massachusetts","51-3092","Food batchmakers",NA,"2570","13.41","27890"
"OR","Oregon","51-9141","Semiconductor processors",NA,"2570","14.80","30780"
"WY","Wyoming","27-0000","Arts, design, entertainment, sports, and media occupations","major","2570","14.86","30910"
"MO","Missouri","43-4181","Reservation and transportation ticket agents and travel clerks",NA,"2570","15.16","31530"
"VA","Virginia","25-4031","Library technicians",NA,"2570","16.14","33580"
"IN","Indiana","51-4032","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",NA,"2570","17.11","35580"
"CO","Colorado","21-1014","Mental health counselors",NA,"2570","17.40","36180"
"MD","Maryland","39-1021","First-line supervisors/managers of personal service workers",NA,"2570","18.22","37900"
"MD","Maryland","29-2012","Medical and clinical laboratory technicians",NA,"2570","20.18","41980"
"NE","Nebraska","41-3021","Insurance sales agents",NA,"2570","21.52","44760"
"WA","Washington","29-2099","Health technologists and technicians, all other",NA,"2570","22.82","47470"
"CA","California","27-1029","Designers, all other",NA,"2570","24.82","51620"
"NY","New York","27-4012","Broadcast technicians",NA,"2570","25.40","52840"
"OR","Oregon","49-2022","Telecommunications equipment installers and repairers, except line installers",NA,"2570","25.62","53300"
"AZ","Arizona","13-1022","Wholesale and retail buyers, except farm products",NA,"2570","26.38","54870"
"TX","Texas","29-2032","Diagnostic medical sonographers",NA,"2570","29.02","60360"
"MD","Maryland","15-2041","Statisticians",NA,"2570","41.16","85600"
"TX","Texas","53-2021","Air traffic controllers",NA,"2570","52.54","109290"
"WV","West Virginia","35-2011","Cooks, fast food",NA,"2570","6.96","14470"
"OK","Oklahoma","29-1111","Registered nurses",NA,"25700","24.20","50330"
"MI","Michigan","53-7064","Packers and packagers, hand",NA,"25720","10.62","22100"
"NH","New Hampshire","49-0000","Installation, maintenance, and repair occupations","major","25740","19.46","40480"
"NJ","New Jersey","39-9011","Child care workers",NA,"25780","10.32","21460"
"SC","South Carolina","39-9032","Recreation workers",NA,"2580","10.60","22060"
"SD","South Dakota","47-2061","Construction laborers",NA,"2580","10.95","22770"
"MS","Mississippi","51-7042","Woodworking machine setters, operators, and tenders, except sawing",NA,"2580","11.31","23530"
"IA","Iowa","51-7011","Cabinetmakers and bench carpenters",NA,"2580","12.54","26080"
"UT","Utah","51-7011","Cabinetmakers and bench carpenters",NA,"2580","12.97","26980"
"LA","Louisiana","37-1011","First-line supervisors/managers of housekeeping and janitorial workers",NA,"2580","13.53","28150"
"OK","Oklahoma","43-9041","Insurance claims and policy processing clerks",NA,"2580","14.10","29340"
"MD","Maryland","43-9022","Word processors and typists",NA,"2580","15.41","32050"
"OK","Oklahoma","53-7032","Excavating and loading machine and dragline operators",NA,"2580","15.49","32220"
"NM","New Mexico","21-1021","Child, family, and school social workers",NA,"2580","15.75","32760"
"PA","Pennsylvania","23-2093","Title examiners, abstractors, and searchers",NA,"2580","18.60","38680"
"PA","Pennsylvania","29-1031","Dietitians and nutritionists",NA,"2580","20.88","43420"
"SC","South Carolina","29-2021","Dental hygienists",NA,"2580","24.69","51360"
"NY","New York","27-3091","Interpreters and translators",NA,"2580","25.01","52020"
"MD","Maryland","49-9052","Telecommunications line installers and repairers",NA,"2580","25.61","53260"
"WA","Washington","17-3023","Electrical and electronic engineering technicians",NA,"2580","27.17","56520"
"OH","Ohio","11-3061","Purchasing managers",NA,"2580","38.95","81010"
"PA","Pennsylvania","17-2081","Environmental engineers",NA,"2580","39.70","82570"
"MI","Michigan","11-3071","Transportation, storage, and distribution managers",NA,"2580","39.80","82780"
"WA","Washington","13-2051","Financial analysts",NA,"2580","40.98","85240"
"TX","Texas","15-1011","Computer and information scientists, research",NA,"2580","44.04","91600"
"AR","Arkansas","29-1051","Pharmacists",NA,"2580","45.39","94410"
"AL","Alabama","39-9021","Personal and home care aides",NA,"2580","7.67","15960"
"NE","Nebraska","53-7061","Cleaners of vehicles and equipment",NA,"2580","9.57","19900"
"NY","New York","25-2011","Preschool teachers, except special education",NA,"25810","14.43","30020"
"NY","New York","35-3011","Bartenders",NA,"25820","12.17","25320"
"GA","Georgia","23-0000","Legal occupations","major","25850","45.43","94490"
"AZ","Arizona","49-9042","Maintenance and repair workers, general",NA,"25860","15.48","32200"
"TX","Texas","41-2011","Cashiers",NA,"258600","8.02","16690"
"NY","New York","39-0000","Personal care and service occupations","major","258960","12.95","26930"
"NC","North Carolina","47-3011","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",NA,"2590","10.60","22040"
"GA","Georgia","51-7042","Woodworking machine setters, operators, and tenders, except sawing",NA,"2590","10.86","22590"
"WY","Wyoming","43-5081","Stock clerks and order fillers",NA,"2590","11.09","23060"
"TX","Texas","51-4032","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",NA,"2590","12.24","25450"
"VI","Virgin Islands","53-0000","Transportation and material moving occupations","major","2590","12.51","26030"
"IN","Indiana","51-9022","Grinding and polishing workers, hand",NA,"2590","13.09","27230"
"MI","Michigan","51-9041","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",NA,"2590","13.73","28550"
"ME","Maine","45-0000","Farming, fishing, and forestry occupations","major","2590","14.44","30040"
"RI","Rhode Island","35-1012","First-line supervisors/managers of food preparation and serving workers",NA,"2590","16.59","34520"
"AZ","Arizona","43-9199","Office and administrative support workers, all other",NA,"2590","16.77","34870"
"OR","Oregon","51-5023","Printing machine operators",NA,"2590","16.84","35030"
"KY","Kentucky","51-4111","Tool and die makers",NA,"2590","20.61","42860"
"AL","Alabama","51-4122","Welding, soldering, and brazing machine setters, operators, and tenders",NA,"2590","20.80","43270"
"OR","Oregon","27-1024","Graphic designers",NA,"2590","20.81","43280"
"AR","Arkansas","41-3021","Insurance sales agents",NA,"2590","20.86","43390"
"PR","Puerto Rico","41-4011","Sales representatives, wholesale and manufacturing, technical and scientific products",NA,"2590","21.07","43820"
"FL","Florida","17-3026","Industrial engineering technicians",NA,"2590","21.44","44590"
"WI","Wisconsin","21-1022","Medical and public health social workers",NA,"2590","21.50","44710"
"IA","Iowa","13-1023","Purchasing agents, except wholesale, retail, and farm products",NA,"2590","22.00","45760"
"OR","Oregon","13-1041","Compliance officers, except agriculture, construction, health and safety, and transportation",NA,"2590","23.16","48170"
"OH","Ohio","33-3021","Detectives and criminal investigators",NA,"2590","28.67","59630"
"VA","Virginia","17-3029","Engineering technicians, except drafters, all other",NA,"2590","32.14","66850"
"KS","Kansas","17-2141","Mechanical engineers",NA,"2590","32.79","68210"
"MD","Maryland","13-1081","Logisticians",NA,"2590","36.11","75110"
"MO","Missouri","17-2071","Electrical engineers",NA,"2590","37.11","77180"
"CA","California","17-2111","Health and safety engineers, except mining safety engineers and inspectors",NA,"2590","37.60","78210"
"MD","Maryland","13-2052","Personal financial advisors",NA,"2590","37.92","78870"
"CO","Colorado","39-3031","Ushers, lobby attendants, and ticket takers",NA,"2590","7.82","16270"
"CO","Colorado","41-0000","Sales and related occupations","major","259120","18.15","37750"
"KY","Kentucky","43-4051","Customer service representatives",NA,"25950","13.77","28640"
"NY","New York","43-9022","Word processors and typists",NA,"25950","15.32","31870"
"WA","Washington","43-6014","Secretaries, except legal, medical, and executive",NA,"25950","16.36","34040"
"OK","Oklahoma","35-3021","Combined food preparation and serving workers, including fast food",NA,"25980","6.94","14440"
"MT","Montana","39-9099","Personal care and service workers, all other",NA,"260","10.04","20880"
"SD","South Dakota","27-1023","Floral designers",NA,"260","10.06","20930"
"WI","Wisconsin","41-9091","Door-to-door sales workers, news and street vendors, and related workers",NA,"260","10.11","21030"
"CT","Connecticut","39-3012","Gaming and sports book writers and runners",NA,"260","10.26","21350"
"ND","North Dakota","27-1023","Floral designers",NA,"260","10.27","21370"
"GU","Guam","43-3071","Tellers",NA,"260","10.30","21430"
"MO","Missouri","51-9194","Etchers and engravers",NA,"260","10.51","21860"
"ND","North Dakota","45-2041","Graders and sorters, agricultural products",NA,"260","10.51","21860"
"WV","West Virginia","29-2051","Dietetic technicians",NA,"260","10.62","22080"
"KS","Kansas","43-9081","Proofreaders and copy markers",NA,"260","10.64","22140"
"OH","Ohio","39-3021","Motion picture projectionists",NA,"260","11.08","23040"
"MI","Michigan","39-2011","Animal trainers",NA,"260","11.17","23240"
"FL","Florida","51-4022","Forging machine setters, operators, and tenders, metal and plastic",NA,"260","11.33","23570"
"ID","Idaho","45-2091","Agricultural equipment operators",NA,"260","11.33","23560"
"WI","Wisconsin","51-7099","Woodworkers, all other",NA,"260","11.39","23700"
"NE","Nebraska","49-3052","Motorcycle mechanics",NA,"260","11.48","23880"
"NE","Nebraska","51-2021","Coil winders, tapers, and finishers",NA,"260","11.85","24640"
"GU","Guam","41-4012","Sales representatives, wholesale and manufacturing, except technical and scientific products",NA,"260","11.90","24750"
"TN","Tennessee","47-5081","Helpers--extraction workers",NA,"260","12.17","25320"
"MN","Minnesota","47-3013","Helpers--electricians",NA,"260","12.47","25940"
"SD","South Dakota","51-4021","Extruding and drawing machine setters, operators, and tenders, metal and plastic",NA,"260","12.57","26140"
"IN","Indiana","39-1012","Slot key persons",NA,"260","12.76","26540"
"OR","Oregon","47-3016","Helpers--roofers",NA,"260","12.81","26650"
"WV","West Virginia","51-2023","Electromechanical equipment assemblers",NA,"260","12.86","26750"
"NH","New Hampshire","31-9093","Medical equipment preparers",NA,"260","12.95","26940"
"FL","Florida","51-4194","Tool grinders, filers, and sharpeners",NA,"260","12.98","27010"
"MT","Montana","51-9041","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",NA,"260","12.98","27000"
"WY","Wyoming","51-9199","Production workers, all other",NA,"260","13.04","27120"
"MN","Minnesota","47-3016","Helpers--roofers",NA,"260","13.21","27490"
"NE","Nebraska","51-4032","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",NA,"260","13.23","27520"
"CT","Connecticut","53-7011","Conveyor operators and tenders",NA,"260","13.24","27530"
"OK","Oklahoma","47-4071","Septic tank servicers and sewer pipe cleaners",NA,"260","13.25","27560"
"MT","Montana","43-9022","Word processors and typists",NA,"260","13.27","27600"
"PR","Puerto Rico","49-2094","Electrical and electronics repairers, commercial and industrial equipment",NA,"260","13.40","27870"
"PR","Puerto Rico","51-8099","Plant and system operators, all other",NA,"260","13.44","27950"
"IN","Indiana","49-3052","Motorcycle mechanics",NA,"260","13.61","28310"
"RI","Rhode Island","27-1023","Floral designers",NA,"260","13.62","28340"
"IA","Iowa","31-1013","Psychiatric aides",NA,"260","13.73","28560"
"NM","New Mexico","41-3041","Travel agents",NA,"260","13.83","28760"
"CO","Colorado","51-9194","Etchers and engravers",NA,"260","14.02","29160"
"WI","Wisconsin","49-2096","Electronic equipment installers and repairers, motor vehicles",NA,"260","14.03","29180"
"SC","South Carolina","49-3052","Motorcycle mechanics",NA,"260","14.05","29230"
"ME","Maine","51-9041","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",NA,"260","14.12","29370"
"PA","Pennsylvania","27-1013","Fine artists, including painters, sculptors, and illustrators",NA,"260","14.16","29450"
"AZ","Arizona","51-4032","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",NA,"260","14.18","29490"
"MO","Missouri","31-2012","Occupational therapist aides",NA,"260","14.22","29590"
"DC","District of Columbia","43-5021","Couriers and messengers",NA,"260","14.29","29730"
"PR","Puerto Rico","15-2041","Statisticians",NA,"260","14.38","29910"
"UT","Utah","51-9082","Medical appliance technicians",NA,"260","14.46","30070"
"MD","Maryland","51-7041","Sawing machine setters, operators, and tenders, wood",NA,"260","14.51","30180"
"MS","Mississippi","49-2092","Electric motor, power tool, and related repairers",NA,"260","14.52","30200"
"WI","Wisconsin","33-3041","Parking enforcement workers",NA,"260","14.60","30370"
"KY","Kentucky","47-2041","Carpet installers",NA,"260","14.77","30720"
"TX","Texas","47-2042","Floor layers, except carpet, wood, and hard tiles",NA,"260","14.81","30800"
"VT","Vermont","29-2012","Medical and clinical laboratory technicians",NA,"260","14.81","30810"
"NM","New Mexico","13-2082","Tax preparers",NA,"260","14.85","30890"
"KY","Kentucky","43-4041","Credit authorizers, checkers, and clerks",NA,"260","15.00","31200"
"KS","Kansas","33-9021","Private detectives and investigators",NA,"260","15.03","31260"
"MD","Maryland","51-7021","Furniture finishers",NA,"260","15.14","31490"
"IA","Iowa","27-4012","Broadcast technicians",NA,"260","15.15","31510"
"WI","Wisconsin","49-9095","Manufactured building and mobile home installers",NA,"260","15.24","31700"
"MT","Montana","41-3041","Travel agents",NA,"260","15.30","31820"
"VA","Virginia","51-4051","Metal-refining furnace operators and tenders",NA,"260","15.30","31830"
"SD","South Dakota","17-3011","Architectural and civil drafters",NA,"260","15.35","31930"
"MS","Mississippi","51-5021","Job printers",NA,"260","15.36","31940"
"NE","Nebraska","49-9044","Millwrights",NA,"260","15.40","32030"
"TX","Texas","53-4013","Rail yard engineers, dinkey operators, and hostlers",NA,"260","15.40","32040"
"SC","South Carolina","49-3051","Motorboat mechanics",NA,"260","15.41","32050"
"SC","South Carolina","27-3091","Interpreters and translators",NA,"260","15.45","32130"
"OR","Oregon","47-3013","Helpers--electricians",NA,"260","15.68","32610"
"KS","Kansas","51-9191","Cementing and gluing machine operators and tenders",NA,"260","15.88","33030"
"MN","Minnesota","51-2031","Engine and other machine assemblers",NA,"260","15.95","33170"
"VA","Virginia","47-2082","Tapers",NA,"260","15.96","33200"
"IL","Illinois","51-6091","Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",NA,"260","16.16","33610"
"SC","South Carolina","43-9031","Desktop publishers",NA,"260","16.24","33770"
"MN","Minnesota","51-4051","Metal-refining furnace operators and tenders",NA,"260","16.33","33970"
"OH","Ohio","25-4013","Museum technicians and conservators",NA,"260","16.37","34040"
"WV","West Virginia","29-2099","Health technologists and technicians, all other",NA,"260","16.39","34080"
"SD","South Dakota","47-2071","Paving, surfacing, and tamping equipment operators",NA,"260","16.41","34130"
"HI","Hawaii","17-3031","Surveying and mapping technicians",NA,"260","16.42","34160"
"VA","Virginia","33-3011","Bailiffs",NA,"260","16.63","34580"
"UT","Utah","29-1125","Recreational therapists",NA,"260","16.65","34640"
"TN","Tennessee","49-3022","Automotive glass installers and repairers",NA,"260","16.66","34640"
"NJ","New Jersey","33-9011","Animal control workers",NA,"260","16.68","34690"
"MA","Massachusetts","41-9091","Door-to-door sales workers, news and street vendors, and related workers",NA,"260","16.75","34830"
"NH","New Hampshire","21-1011","Substance abuse and behavioral disorder counselors",NA,"260","16.88","35110"
"NV","Nevada","51-9071","Jewelers and precious stone and metal workers",NA,"260","17.09","35560"
"DE","Delaware","41-9099","Sales and related workers, all other",NA,"260","17.17","35710"
"AK","Alaska","53-7011","Conveyor operators and tenders",NA,"260","17.39","36170"
"TX","Texas","53-4041","Subway and streetcar operators",NA,"260","17.42","36240"
"NH","New Hampshire","43-5041","Meter readers, utilities",NA,"260","17.53","36470"
"IA","Iowa","27-3099","Media and communication workers, all other",NA,"260","17.59","36580"
"MT","Montana","51-9012","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",NA,"260","17.64","36700"
"PR","Puerto Rico","23-2099","Legal support workers, all other",NA,"260","17.68","36780"
"ID","Idaho","51-9081","Dental laboratory technicians",NA,"260","17.71","36840"
"DC","District of Columbia","25-3011","Adult literacy, remedial education, and GED teachers and instructors",NA,"260","17.74","36900"
