"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"IA","Iowa","29-1062","Family and general practitioners",NA,"1840","80.22","166850"
"NH","New Hampshire","35-9031","Hosts and hostesses, restaurant, lounge, and coffee shop",NA,"1840","9.44","19630"
"NE","Nebraska","43-4051","Customer service representatives",NA,"18410","13.48","28050"
"TN","Tennessee","35-2014","Cooks, restaurant",NA,"18410","9.66","20090"
"TX","Texas","47-2051","Cement masons and concrete finishers",NA,"18440","13.26","27580"
"LA","Louisiana","41-1011","First-line supervisors/managers of retail sales workers",NA,"18440","16.22","33730"
"ME","Maine","41-2031","Retail salespersons",NA,"18460","12.07","25100"
"LA","Louisiana","00-0000","All Occupations",NA,"1847230","16.38","34060"
"LA","Louisiana","29-2061","Licensed practical and licensed vocational nurses",NA,"18490","16.23","33750"
"CT","Connecticut","13-2011","Accountants and auditors",NA,"18490","33.07","68780"
"NV","Nevada","43-5021","Couriers and messengers",NA,"1850","10.76","22370"
"KS","Kansas","43-4071","File clerks",NA,"1850","10.87","22610"
"TN","Tennessee","51-7041","Sawing machine setters, operators, and tenders, wood",NA,"1850","11.26","23430"
"OK","Oklahoma","43-4031","Court, municipal, and license clerks",NA,"1850","11.57","24070"
"CA","California","39-9041","Residential advisors",NA,"1850","14.75","30690"
"VA","Virginia","43-4141","New accounts clerks",NA,"1850","14.83","30840"
"SC","South Carolina","43-4199","All other information and record clerks",NA,"1850","14.87","30920"
"CO","Colorado","53-7081","Refuse and recyclable material collectors",NA,"1850","15.05","31310"
"IL","Illinois","43-5041","Meter readers, utilities",NA,"1850","15.41","32050"
"VA","Virginia","37-2021","Pest control workers",NA,"1850","15.97","33220"
"NY","New York","19-4061","Social science research assistants",NA,"1850","17.16","35690"
"MA","Massachusetts","51-5022","Prepress technicians and workers",NA,"1850","17.40","36180"
"WA","Washington","31-9094","Medical transcriptionists",NA,"1850","17.86","37140"
"MS","Mississippi","53-1021","First-line supervisors/managers of helpers, laborers, and material movers, hand",NA,"1850","18.34","38160"
"NC","North Carolina","19-4031","Chemical technicians",NA,"1850","18.54","38560"
"CA","California","49-2092","Electric motor, power tool, and related repairers",NA,"1850","19.27","40070"
"PA","Pennsylvania","49-9044","Millwrights",NA,"1850","19.33","40210"
"CO","Colorado","43-9011","Computer operators",NA,"1850","19.53","40610"
"IA","Iowa","41-3011","Advertising sales agents",NA,"1850","19.63","40830"
"MA","Massachusetts","47-2181","Roofers",NA,"1850","24.56","51080"
"NJ","New Jersey","47-4041","Hazardous materials removal workers",NA,"1850","25.18","52360"
"DE","Delaware","33-3051","Police and sheriff's patrol officers",NA,"1850","26.38","54870"
